ImagePath,Right Upper-0,Left Upper-1,Left Lower-2,Right Lower-3,Labels
images/6b65f571-1001_6.jpg,0,1,1,1,"[0, 1, 1, 1]"
images/6f6d8ea6-1001_7.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/33795f3b-1001_8.jpg,0,0,1,0,"[0, 0, 1, 0]"
images/eb160acb-1001_9.jpg,0,0,1,1,"[0, 0, 1, 1]"
images/78741275-1001_10.jpg,0,0,0,1,"[0, 0, 0, 1]"
images/16467bf8-1001_1.jpg,1,0,0,1,"[1, 0, 0, 1]"
images/b592b196-1001_2.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/79a125f1-1001_3.jpg,1,1,1,1,"[1, 1, 1, 1]"
images/24961bbc-1001_4.jpg,0,0,1,1,"[0, 0, 1, 1]"
images/f4eafcd9-1001_5.jpg,0,0,1,1,"[0, 0, 1, 1]"
images/9ddb863b-1001_37.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/0b9d5003-1001_38.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/f5932d69-1001_39.jpg,0,0,1,1,"[0, 0, 1, 1]"
images/1346510f-1001_40.jpg,0,0,1,1,"[0, 0, 1, 1]"
images/bdc0d099-1001_41.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/623a556c-1001_42.jpg,0,0,1,0,"[0, 0, 1, 0]"
images/ebccbfa3-1001_43.jpg,0,1,1,1,"[0, 1, 1, 1]"
images/2473985e-1001_44.jpg,0,1,1,1,"[0, 1, 1, 1]"
images/69a77eb3-1001_45.jpg,0,0,1,0,"[0, 0, 1, 0]"
images/449d658a-1001_46.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/d0e89dcd-1001_47.jpg,1,1,1,1,"[1, 1, 1, 1]"
images/c817a2e8-1001_48.jpg,1,1,1,0,"[1, 1, 1, 0]"
images/72fbb710-1001_49.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/497664d5-1001_50.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/ff6bbc6f-1001_51.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/3b2e775d-1001_52.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/0d236b76-1001_11.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/533c5518-1001_12.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/167f9d45-1001_13.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/2446f164-1001_14.jpg,0,0,1,0,"[0, 0, 1, 0]"
images/7fc2ea4f-1001_15.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/6682b05f-1001_16.jpg,1,1,1,1,"[1, 1, 1, 1]"
images/a51ac2d4-1001_17.jpg,1,1,1,1,"[1, 1, 1, 1]"
images/02f0a271-1001_18.jpg,1,1,1,1,"[1, 1, 1, 1]"
images/5bc02baf-1001_19.jpg,1,1,1,1,"[1, 1, 1, 1]"
images/c3e93a46-1001_20.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/bddbaa8c-1001_21.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/93e54784-1001_22.jpg,0,1,1,1,"[0, 1, 1, 1]"
images/b86bb50f-1001_23.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/4232fb9c-1001_24.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/e53f2d0a-1001_25.jpg,0,0,1,0,"[0, 0, 1, 0]"
images/ac85e29a-1001_26.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/82e70571-1001_27.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/c4b84445-1001_28.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/7ae097e8-1001_29.jpg,1,1,1,1,"[1, 1, 1, 1]"
images/966001ef-1001_30.jpg,1,1,1,1,"[1, 1, 1, 1]"
images/d9045529-1001_31.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/cd3b35d1-1001_32.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/a5216a1c-1001_33.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/eaa85df7-1001_34.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/75aabec1-1001_35.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/95b14a55-1001_36.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/bf3c9443-1001_86.jpg,1,1,1,1,"[1, 1, 1, 1]"
images/d7303054-1001_87.jpg,1,1,1,1,"[1, 1, 1, 1]"
images/55ea3f95-1001_88.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/28285ddd-1001_89.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/f956d863-1001_90.jpg,0,0,1,0,"[0, 0, 1, 0]"
images/a871ddc3-1001_91.jpg,0,0,1,1,"[0, 0, 1, 1]"
images/e4b15195-1001_92.jpg,1,1,1,1,"[1, 1, 1, 1]"
images/db7bdc90-1001_93.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/f8d5538e-1001_94.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/65caf34c-1001_95.jpg,1,1,1,1,"[1, 1, 1, 1]"
images/1840e8c1-1001_96.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/b46ed2ab-1001_53.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/7d2a68fe-1001_54.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/db87dc8e-1001_55.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/ac951a27-1001_56.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/d807b864-1001_57.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/416eac47-1001_58.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/45e8261b-1001_59.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/dd9254b2-1001_60.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/e9bf48e0-1001_61.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/77d70465-1001_62.jpg,1,1,1,1,"[1, 1, 1, 1]"
images/daa6a69e-1001_63.jpg,1,1,1,1,"[1, 1, 1, 1]"
images/63a399c9-1001_64.jpg,1,1,1,1,"[1, 1, 1, 1]"
images/b0a6892d-1001_65.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/b4725f2b-1001_66.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/4f5bf04b-1001_67.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/31ce91e9-1001_68.jpg,0,0,0,0,"[0, 0, 0, 0]"
images/acc89856-1001_69.jpg,1,0,1,1,"[1, 0, 1, 1]"
images/c36f5acd-1001_70.jpg,1,0,1,1,"[1, 0, 1, 1]"
images/fba42220-1001_71.jpg,1,0,1,1,"[1, 0, 1, 1]"
images/2248d01c-1001_72.jpg,1,0,1,1,"[1, 0, 1, 1]"
images/18f34aa1-1001_73.jpg,1,0,1,1,"[1, 0, 1, 1]"
images/826d4966-1001_74.jpg,1,0,1,1,"[1, 0, 1, 1]"
images/ddaca6c5-1001_75.jpg,1,1,0,0,"[1, 1, 0, 0]"
